Date,Close/Last,Volume,Open,High,Low
03/19/2025,$152.45,6909504,$150.06,$154.07,$150.00
03/18/2025,$149.45,9402508,$152.37,$152.415,$148.63
03/17/2025,$154.01,9884994,$150.40,$155.75,$150.40
03/14/2025,$149.27,9329964,$148.915,$150.88,$147.88
03/13/2025,$147.66,14187660,$149.79,$150.17,$145.48
03/12/2025,$150.89,15373850,$146.23,$152.23,$145.0121
03/11/2025,$144.18,27200230,$143.42,$145.78,$137.70
03/10/2025,$148.79,21486050,$150.53,$152.52,$146.80
03/07/2025,$155.16,12646490,$150.62,$156.48,$148.50
03/06/2025,$150.94,12321250,$157.155,$157.155,$149.7286
03/05/2025,$161.56,7140996,$158.06,$162.4853,$157.05
03/04/2025,$157.47,13171900,$159.22,$159.76,$153.52
03/03/2025,$162.02,8081840,$166.95,$167.12,$161.13
02/28/2025,$166.06,12843290,$163.11,$166.15,$160.81
02/27/2025,$164.76,7436810,$173.00,$174.86,$164.58
02/26/2025,$172.47,6915115,$170.98,$173.87,$169.125
02/25/2025,$168.54,8316085,$169.29,$170.60,$164.441
02/24/2025,$169.96,10639050,$173.57,$174.17,$164.66
02/21/2025,$167.81,9713871,$176.12,$176.875,$167.55
02/20/2025,$176.00,8737035,$179.81,$180.27,$174.43
02/19/2025,$181.52,8688500,$178.58,$181.68,$175.70
02/18/2025,$179.80,11430500,$176.75,$182.24,$176.09
02/14/2025,$174.16,7260851,$174.25,$175.03,$172.8128
02/13/2025,$173.86,6421673,$173.00,$174.375,$172.10
02/12/2025,$172.22,7454841,$174.89,$174.89,$170.71
02/11/2025,$177.19,6528766,$177.62,$179.12,$176.45
02/10/2025,$178.92,7625900,$176.00,$179.99,$174.92
02/07/2025,$174.46,9991297,$175.00,$177.39,$173.18
02/06/2025,$172.35,7036908,$173.00,$175.65,$171.57
02/05/2025,$171.66,7866650,$168.99,$171.89,$168.52
02/04/2025,$167.89,6776982,$170.40,$170.40,$166.35
02/03/2025,$168.60,8250588,$163.20,$169.90,$163.20
01/31/2025,$170.06,8722470,$170.41,$173.00,$169.1296
01/30/2025,$170.38,14981710,$164.78,$171.49,$164.10
01/29/2025,$162.02,9866583,$164.025,$164.025,$160.01
01/28/2025,$164.00,20319300,$162.99,$165.825,$156.75
01/27/2025,$158.28,42201590,$168.90,$172.52,$152.66
01/24/2025,$183.60,12147180,$188.64,$189.10,$181.87
01/23/2025,$186.47,17314650,$181.64,$186.57,$181.50
01/22/2025,$184.22,48028520,$191.51,$191.99,$180.57
01/21/2025,$172.57,30232050,$163.87,$173.37,$162.75
01/17/2025,$161.03,11618280,$161.77,$163.16,$160.54
01/16/2025,$159.54,9210555,$160.15,$161.50,$158.41
01/15/2025,$158.31,10701230,$158.665,$159.1495,$157.26
01/14/2025,$156.31,7410242,$156.42,$157.25,$154.35
01/13/2025,$153.92,8828492,$153.74,$154.15,$152.42
01/10/2025,$154.50,13593880,$159.20,$159.20,$153.92
01/08/2025,$163.14,7596214,$162.18,$163.98,$161.43
01/07/2025,$162.03,7712222,$165.58,$166.16,$161.32
01/06/2025,$165.69,6845373,$167.31,$168.05,$165.19
01/03/2025,$166.32,5878052,$166.70,$167.20,$165.27
01/02/2025,$166.03,5365667,$168.52,$168.69,$164.90
12/31/2024,$166.64,4307524,$167.20,$167.30,$165.84
12/30/2024,$166.91,5254833,$166.51,$167.91,$164.55
12/27/2024,$168.96,4344287,$170.38,$171.15,$167.20
12/26/2024,$171.68,4103882,$170.50,$172.55,$170.50
12/24/2024,$171.41,2451547,$169.70,$171.77,$169.03
12/23/2024,$169.14,6518229,$169.59,$169.62,$167.1683
12/20/2024,$169.66,13810530,$167.73,$171.26,$165.63
12/19/2024,$168.79,8386394,$167.55,$171.00,$167.40
12/18/2024,$165.41,8817934,$169.41,$171.23,$165.36
12/17/2024,$169.71,8940204,$170.75,$172.99,$169.27
12/16/2024,$171.23,9571955,$173.84,$174.27,$170.93
12/13/2024,$173.39,8351106,$175.00,$176.14,$171.64
12/12/2024,$175.32,8154218,$178.00,$178.1699,$174.81
12/11/2024,$178.58,13188710,$178.00,$181.38,$174.8301
12/10/2024,$177.74,26502020,$173.46,$177.80,$171.0592
12/09/2024,$190.45,20157960,$196.30,$198.3099,$188.93
12/06/2024,$191.69,10503380,$187.00,$192.63,$186.38
12/05/2024,$186.24,6398073,$189.02,$189.02,$185.85
12/04/2024,$188.19,8906283,$188.00,$189.79,$185.90
12/03/2024,$182.89,8917062,$181.18,$183.04,$179.11
12/02/2024,$181.41,8859696,$185.29,$185.29,$181.00
11/29/2024,$184.84,4628044,$184.01,$185.93,$184.00
11/27/2024,$182.70,8368797,$188.955,$188.955,$182.22
11/26/2024,$190.37,6427210,$188.32,$192.40,$188.32
11/25/2024,$187.99,15138470,$194.50,$194.75,$187.99
11/22/2024,$192.29,6879447,$193.00,$194.20,$191.06
11/21/2024,$192.43,11394260,$191.94,$196.04,$191.6401
11/20/2024,$190.75,4860222,$190.90,$190.97,$187.82
11/19/2024,$188.90,8116958,$184.89,$189.32,$184.32
11/18/2024,$185.73,6291406,$184.30,$186.18,$182.88
11/15/2024,$183.74,8986276,$184.52,$185.80,$182.33
11/14/2024,$187.05,7804318,$188.66,$189.59,$186.71
11/13/2024,$189.63,5695426,$189.00,$191.77,$188.7895
11/12/2024,$189.58,6629891,$188.54,$190.61,$187.20
11/11/2024,$189.13,5973638,$191.05,$191.50,$187.84
11/08/2024,$189.25,8520419,$186.26,$190.16,$186.26
11/07/2024,$186.37,7759399,$181.08,$186.67,$180.54
11/06/2024,$181.24,11084990,$178.52,$182.10,$177.4153
11/05/2024,$171.78,5456754,$170.47,$171.89,$170.32
11/04/2024,$169.59,4804405,$170.31,$170.48,$168.73
11/01/2024,$170.02,5680595,$170.15,$172.27,$169.10
10/31/2024,$167.84,9477476,$170.52,$170.88,$167.3975
10/30/2024,$174.56,5822451,$173.98,$176.16,$172.79
10/29/2024,$173.43,4122913,$172.29,$174.0231,$172.29
10/28/2024,$172.42,4329971,$174.045,$174.17,$172.135
10/25/2024,$173.52,3674717,$174.78,$176.29,$173.10
10/24/2024,$174.38,3488036,$173.315,$174.9542,$172.91
10/23/2024,$173.10,4830414,$174.50,$176.07,$173.01
10/22/2024,$175.31,5510114,$175.45,$175.85,$174.28
10/21/2024,$173.76,4198362,$174.45,$175.15,$173.16
