Date,Close/Last,Volume,Open,High,Low
04/16/2025,$516.45,5889277,$529.30,$530.13,$512.89
04/15/2025,$528.17,4329208,$532.62,$535.92,$527.36
04/14/2025,$529.52,5512121,$531.00,$536.52,$526.98
04/11/2025,$524.11,6231015,$515.00,$526.58,$510.77
04/10/2025,$515.81,7475863,$518.30,$521.41,$498.6088
04/09/2025,$521.41,10153680,$490.00,$523.93,$485.5596
04/08/2025,$492.64,9470118,$509.025,$516.00,$484.19
04/07/2025,$490.38,12749750,$467.415,$505.8451,$462.10
04/04/2025,$493.54,12605030,$519.00,$521.00,$492.98
04/03/2025,$530.16,6410854,$527.62,$538.80,$525.14
04/02/2025,$537.72,4079044,$532.13,$539.00,$530.82
04/01/2025,$532.99,4130570,$531.88,$536.41,$527.5001
03/31/2025,$532.58,7139333,$521.40,$536.52,$519.00
03/28/2025,$526.31,5321395,$535.35,$536.00,$524.6791
03/27/2025,$534.52,5154608,$533.25,$537.38,$529.3537
03/26/2025,$533.21,5010845,$531.00,$537.63,$530.98
03/25/2025,$528.87,3964761,$527.185,$533.29,$525.8804
03/24/2025,$525.85,4858877,$523.10,$527.30,$521.48
03/21/2025,$521.91,8546279,$528.31,$528.96,$520.73
03/20/2025,$528.73,4065426,$524.00,$530.6091,$522.67
03/19/2025,$525.27,3797997,$525.69,$526.71,$520.655
03/18/2025,$523.14,4857806,$525.45,$528.38,$521.42
03/17/2025,$523.01,5343389,$514.62,$524.71,$513.21
03/14/2025,$514.60,5775588,$506.95,$515.84,$502.92
03/13/2025,$504.25,5104202,$496.46,$507.398,$494.75
03/12/2025,$495.94,3871096,$497.60,$498.3233,$488.75
03/11/2025,$496.25,5358269,$496.00,$499.15,$491.3101
03/10/2025,$497.10,6261980,$490.00,$500.449,$490.00
03/07/2025,$495.62,3842150,$496.29,$498.27,$490.11
03/06/2025,$497.84,3989662,$496.835,$499.10,$491.6314
03/05/2025,$498.50,4715777,$496.00,$500.93,$492.32
03/04/2025,$495.86,6126619,$507.27,$508.73,$493.6091
03/03/2025,$510.08,5112297,$516.22,$518.77,$506.48
02/28/2025,$513.83,6850339,$507.46,$515.37,$504.3333
02/27/2025,$502.41,4507714,$496.45,$504.95,$495.61
02/26/2025,$494.10,3543491,$499.115,$499.90,$493.05
02/25/2025,$499.82,6757512,$503.15,$507.00,$491.90
02/24/2025,$498.42,9862446,$483.50,$503.9599,$483.24
02/21/2025,$478.74,4085076,$480.95,$483.64,$477.74
02/20/2025,$481.80,2650957,$484.125,$484.20,$478.14
02/19/2025,$483.77,2436465,$482.82,$484.72,$480.68
02/18/2025,$482.82,3351014,$480.40,$484.06,$477.63
02/14/2025,$479.59,2825755,$481.47,$484.55,$479.45
02/13/2025,$480.49,3274693,$471.55,$481.19,$471.20
02/12/2025,$471.73,3297561,$470.44,$472.15,$468.09
02/11/2025,$472.61,2322610,$470.05,$473.05,$466.715
02/10/2025,$470.17,2907341,$473.96,$474.20,$469.3701
02/07/2025,$472.74,3205136,$477.41,$478.25,$472.34
02/06/2025,$477.22,3832693,$475.46,$478.00,$473.28
02/05/2025,$473.73,3782754,$469.81,$474.24,$468.89
02/04/2025,$467.49,3238419,$464.94,$467.91,$462.70
02/03/2025,$464.61,4232007,$461.30,$466.74,$454.60
01/31/2025,$468.67,5442624,$471.84,$472.55,$467.0101
01/30/2025,$472.35,2552240,$472.20,$474.0643,$469.15
01/29/2025,$469.26,2524211,$469.88,$473.92,$468.00
01/28/2025,$469.97,3261260,$473.93,$473.93,$469.30
01/27/2025,$474.70,4535629,$464.30,$474.93,$464.30
01/24/2025,$463.19,3070305,$459.20,$463.81,$457.08
01/23/2025,$459.83,4424526,$461.68,$464.76,$458.00
01/22/2025,$460.51,5838478,$468.59,$468.89,$455.28
01/21/2025,$468.57,4910195,$471.00,$473.17,$467.72
01/17/2025,$467.95,6466973,$464.71,$470.18,$462.4547
01/16/2025,$462.81,3475694,$458.93,$462.96,$458.3001
01/15/2025,$458.51,4719411,$455.55,$459.09,$453.27
01/14/2025,$450.03,4055602,$445.50,$450.30,$443.92
01/13/2025,$443.91,3639248,$442.04,$445.00,$441.15
01/10/2025,$442.66,5471869,$452.66,$453.00,$440.10
01/08/2025,$451.84,3933259,$453.63,$454.00,$449.63
01/07/2025,$452.92,3507166,$452.80,$456.515,$451.10
01/06/2025,$451.41,4072913,$453.85,$456.2399,$450.57
01/03/2025,$453.56,2887160,$452.53,$454.5269,$450.12
01/02/2025,$451.10,3751194,$455.96,$456.8899,$450.03
12/31/2024,$453.28,3380714,$452.205,$454.33,$451.11
12/30/2024,$452.16,2831375,$454.245,$454.69,$449.1765
12/27/2024,$456.51,3237722,$457.30,$461.13,$454.48
12/26/2024,$459.08,2160799,$457.265,$459.48,$455.795
12/24/2024,$458.66,1761174,$455.41,$458.99,$454.07
12/23/2024,$454.35,3836007,$453.19,$454.55,$449.82
12/20/2024,$453.20,12943910,$449.11,$458.65,$447.19
12/19/2024,$449.34,4645222,$451.73,$453.80,$448.89
12/18/2024,$446.59,4361857,$457.06,$458.73,$446.09
12/17/2024,$455.66,5057506,$454.695,$456.62,$452.06
12/16/2024,$455.20,4513980,$459.17,$460.4244,$454.58
12/13/2024,$457.90,3474337,$460.51,$460.51,$457.01
12/12/2024,$458.63,2571349,$462.16,$463.57,$458.08
12/11/2024,$461.39,3876913,$463.33,$465.48,$458.77
12/10/2024,$462.49,3648541,$464.42,$464.99,$459.50
12/09/2024,$463.87,3748171,$470.60,$471.70,$463.42
12/06/2024,$470.50,3270943,$470.58,$472.08,$467.82
12/05/2024,$470.57,3320231,$468.78,$472.74,$468.72
12/04/2024,$468.32,3941100,$471.09,$471.34,$466.50
12/03/2024,$470.19,4931573,$478.16,$478.30,$468.805
12/02/2024,$477.33,5031497,$484.80,$485.09,$474.75
11/29/2024,$483.02,2969703,$485.37,$486.01,$482.05
11/27/2024,$483.08,5359291,$481.00,$491.67,$480.87
11/26/2024,$478.56,3331974,$478.20,$479.40,$472.85
11/25/2024,$477.43,5246561,$479.13,$482.50,$476.79
11/22/2024,$476.57,3885177,$472.27,$477.4399,$471.61
11/21/2024,$472.06,4116801,$469.445,$474.66,$467.00
11/20/2024,$468.83,3019456,$470.00,$470.6149,$466.11
11/19/2024,$468.86,3656243,$470.77,$470.77,$465.01
11/18/2024,$472.20,3358434,$470.98,$472.6713,$468.36
11/15/2024,$470.28,5817672,$466.74,$472.2551,$465.19
11/14/2024,$467.70,3777267,$468.81,$469.4493,$466.00
11/13/2024,$468.10,2861709,$466.41,$468.40,$464.00
11/12/2024,$466.29,4400521,$467.69,$468.42,$465.15
11/11/2024,$467.36,4119111,$466.01,$470.51,$464.00
11/08/2024,$463.41,3541302,$461.98,$466.35,$459.5001
11/07/2024,$460.13,4237986,$468.27,$468.46,$460.10
11/06/2024,$468.90,6906833,$461.00,$469.26,$459.4801
11/05/2024,$445.06,3154357,$442.29,$445.23,$441.10
11/04/2024,$442.29,5733184,$450.37,$450.70,$437.90
11/01/2024,$452.14,2971342,$451.49,$455.12,$450.70
10/31/2024,$450.92,3660308,$455.19,$456.84,$450.57
10/30/2024,$454.96,2692082,$454.67,$457.6699,$453.82
10/29/2024,$454.62,3985180,$458.60,$458.92,$454.39
10/28/2024,$458.49,4103359,$455.59,$459.24,$455.00
10/25/2024,$454.01,2838884,$458.60,$459.45,$453.03
10/24/2024,$457.77,3793479,$460.90,$461.05,$453.96
10/23/2024,$460.61,3655203,$460.15,$463.26,$458.745
10/22/2024,$461.45,3315151,$464.11,$465.1453,$457.60
10/21/2024,$464.16,3131480,$464.53,$465.7899,$461.68
